,entity_id,entity_type,time_index,fiware_servicepath,__original_ngsi_entity__,weight_id,angular_coefficient_c1,angular_coefficient_c2,angular_coefficient_c3,angular_coefficient_c4,angular_coefficient_c5,angular_coefficient_c6,angular_coefficient_c7,angular_coefficient_c8,external_power_c1,external_power_c2,external_power_c3,external_power_c4,external_power_c5,external_power_c6,external_power_c7,external_power_c8,firmware_c1,firmware_c2,firmware_c3,firmware_c4,firmware_c5,firmware_c6,firmware_c7,firmware_c8,point_c1,point_c2,point_c3,point_c4,point_c5,point_c6,point_c7,point_c8,serialn_c1,serialn_c2,serialn_c3,serialn_c4,serialn_c5,serialn_c6,serialn_c7,serialn_c8,temperature_c1,temperature_c2,temperature_c3,temperature_c4,temperature_c5,temperature_c6,temperature_c7,temperature_c8,weight_c1,weight_c2,weight_c3,weight_c4,weight_c5,weight_c6,weight_c7,weight_c8,voltage_c1,voltage_c2,voltage_c3,voltage_c4,voltage_c5,voltage_c6,voltage_c7,voltage_c8,datetime,total_weight
8,urn:ngsi-v2:DSX:002,DSX,1646397390833,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14771,4","15970,7","17543,2","17202,0","9129,9","5604,6","4010,1","5971,6",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,-2,-1,-1,-1,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:30.833,-6
855,urn:ngsi-v2:DSX:002,DSX,1646397395784,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14771,4","15969,3","17550,4","17204,5","9127,8","5602,3","4010,0","5975,5",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,0,0,-2,-1,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:35.784,-4
586,urn:ngsi-v2:DSX:002,DSX,1646397400889,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14770,0","15969,6","17546,7","17200,2","9125,9","5600,6","4010,6","5971,6",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,-1,-1,-2,-2,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:40.889,-7
584,urn:ngsi-v2:DSX:002,DSX,1646397405800,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14771,7","15969,5","17548,7","17201,5","9130,4","5602,5","4011,9","5971,4",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,-1,-1,-1,-1,0,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:45.800,-4
293,urn:ngsi-v2:DSX:002,DSX,1646397410592,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14771,6","15968,2","17546,1","17202,2","9135,3","5603,0","4006,1","5973,3",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,-1,-1,-1,0,-1,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:50.592,-5
300,urn:ngsi-v2:DSX:002,DSX,1646397415589,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14776,5","15973,7","17547,6","17207,5","9129,6","5606,6","4005,1","5965,4",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",1,0,-1,0,-1,-1,-2,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:55.589,-5
14,urn:ngsi-v2:DSX:002,DSX,1646397420527,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14775,0","15974,1","17556,2","17210,9","9123,5","5597,2","4007,9","5971,6",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",1,0,1,1,-2,-2,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:00.527,-2
297,urn:ngsi-v2:DSX:002,DSX,1646397425420,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14780,1","15981,8","17556,4","17215,8","9128,6","5604,1","4002,8","5965,4",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",2,2,1,2,-2,-1,-2,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:05.420,1
296,urn:ngsi-v2:DSX:002,DSX,1646397430285,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14779,2","15980,8","17559,2","17213,5","9117,2","5590,0","4006,8","5969,6",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",1,1,1,1,-3,-3,-1,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:10.285,-4
9,urn:ngsi-v2:DSX:002,DSX,1646397435230,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14782,3","15980,4","17554,6","17209,9","9127,9","5594,0","4003,7","5968,3",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",2,1,0,1,-2,-3,-2,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:37:15.230,-4
